NEIGHBORHOOD,GENDER,POPULATION
Khandachakra,male,10648
Mahawai,female,4128
Mahawai,male,4211
Naraharinath,female,10764
Naraharinath,male,10617
Pachaljharna,female,6083
Pachaljharna,male,6260
Palata,female,7540
Palata,male,7763
Raskot,female,8196
Raskot,male,8076
Sanni Triveni,female,6468
Sanni Triveni,male,6378
Shuvakalika,female,7054
Shuvakalika,male,7026
Tilagupha,female,7912
Tilagupha,male,7854
Bedkot,female,25989
Bedkot,male,23501
Belauri,female,28108
Belauri,male,25501
Beldandi,female,11709
Beldandi,male,10240
Bhimdatta,female,53568
Bhimdatta,male,53098
Krishnapur,female,29584
Krishnapur,male,27059
Laljhadi,female,11483
Laljhadi,male,11086
Mahakali,female,21123
Mahakali,male,18167
Punarbas,female,28727
Punarbas,male,24945
Shuklaphanta,female,24915
Shuklaphanta,male,22445
Shuklaphanta National Park,female,0
Shuklaphanta National Park,male,0
Banganga,female,40329
Banganga,male,35025
Bijayanagar,female,18106
Bijayanagar,male,18907
Buddhabhumi,female,33385
Buddhabhumi,male,32073
Kapilbastu,female,38323
Kapilbastu,male,38571
Krishnanagar,female,30065
Krishnanagar,male,32357
Maharajgunj,female,26682
Maharajgunj,male,28219
Mayadevi,female,24033
Mayadevi,male,24446
Shivaraj,female,33683
Shivaraj,male,33479
Shuddhodan,female,22473
Shuddhodan,male,22828
Yashodhara,female,19258
Yashodhara,male,19694
Annapurna,female,12837
Annapurna,male,10728
Machhapuchchhre,female,11907
Machhapuchchhre,male,10013
Madi,female,9912
Madi,male,8241
Pokhara Metropolitan,female,212827
Pokhara Metropolitan,male,201107
Rupa,female,8230
Rupa,male,6296
Budhanilakantha,female,55059
Budhanilakantha,male,57222
Chandragiri,female,42718
Chandragiri,male,44835
Dakshinkali,Female,12790
Dakshinkali,male,12894
Gokarneshwor,female,54786
Gokarneshwor,male,55666
Kageshwori Manahora,female,30161
Kageshwori Manahora,male,30392
Kathmandu,female,470158
Kathmandu,male,533127
Kirtipur,female,29686
Kirtipur,male,37485
Nagarjun,female,33494
Nagarjun,male,35369
Shankharapur,female,13085
Shankharapur,male,12473
Tarakeshwor,female,40200
Tarakeshwor,male,41860
Tokha,female,49102
Tokha,male,51678
Banepa,female,28583
Banepa,male,28493
Bethanchowk,female,9098
Bethanchowk,male,7679
Bhumlu,female,10100
Bhumlu,male,8829
Chaurideurali,female,11361
Chaurideurali,male,9468
Dhulikhel,female,17388
Dhulikhel,male,16754
Khanikhola,female,7334
Khanikhola,male,7064
Mahabharat,female,9342
Mahabharat,male,8941
Mandandeupur,female,17344
Mandandeupur,male,15424
Namobuddha,female,15942
Namobuddha,male,13984
Panauti,female,25064
Panauti,male,22485
Panchkhal,female,20101
Panchkhal,male,19687
Roshi,female,15215
Roshi,male,13545
Temal,female,12129
Temal,male,10583
Ainselukharka,female,8641
Ainselukharka,male,7457
Barahapokhari,female,7518
Barahapokhari,male,6831
